"identifier","name","count","bin","frequency"
"CE2591","trans,cis-hexadeca-2,9-dienoyl-CoA","4","4","346"
"CE4793","3-oxo-dihomo-gama-linolenoyl-CoA","4","4","346"
"3hpvstet","3'-S-hydroxy-pravastatin-tetranor","4","4","346"
"m7masnB","(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform B (protein)","4","4","346"
"13dpg","3-phosphonato-D-glyceroyl phosphate(4-)","4","4","346"
"m6masnC","(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)","4","4","346"
"C09642","(-)-Salsolinol","4","4","346"
"c101_4Zcoa","cis-dec-4-enoyl-CoA","4","4","346"
"c102_4Z_7Zcoa","M_c102_4Z_7Zcoa","4","4","346"
"m6masnB2","(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)","4","4","346"
"m5masnB1","(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)","4","4","346"
"tststeroneglc","testosterone 17-glucosiduronic acid","4","4","346"
"CE2180","4-hydroxyestrone","4","4","346"
"m4masn","(alpha-D-mannosyl)4-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)","4","4","346"
"CE5138","12-oxo-20-hydroxy-leukotriene B4","4","4","346"
"CE4810","3(S)-hydroxy-all-cis-8,11,14,17-eicosatetraenoyl-CoA","4","4","346"
"dec47dicoa","4,7-decadienoylcoa","4","4","346"
"m2emgacpail_hs","(dimannosyl),(phosphoethanolaminyl)-mannosyl-glucosylaminyl-acylphosphatidylinositol (H6)","4","4","346"
"3oddcoa","3-oxolauroyl-CoA","4","4","346"
"CE4811","3-keto-eicosa-8,11,14,17-all-cis-tetraenoyl-CoA","4","4","346"
"CE4812","eicosa-2E,8Z,11Z,14Z,17Z-pentaenoyl-CoA","4","4","346"
"dectricoa","2,4,7-decatrienoylcoa","4","4","346"
"CE5945","10,11-dihydro-20-dihydroxy-LTB4","4","4","346"
"spc_hs","sphingosylphosphocholine acid","4","4","346"
"N1sprm","N(1)-acetylsperminium(3+)","4","4","346"
"CE5947","20-COOH-10,11-dihydro-LTB4","4","4","346"
"CE5144","3-oxo-11-cis-eicosenoyl-CoA","4","4","346"
"ibupgluc","ibuprofen acyl glucuronide","4","4","346"
"CE5148","3(S)-hydroxy-11-cis-eicosenoyl-CoA","4","4","346"
"CE5150","trans,cis-2,11-eicosadienoyl-CoA","4","4","346"
"dhglz","dehydro-gliclazide","4","4","346"
"CE2594","trans,cis-myristo-2,7-dienoyl-CoA","4","4","346"
"CE5152","3-oxo-13cis-docosenoyl-CoA","4","4","346"
"dhcrm_hs","dihydroceramide","4","4","346"
"Ser_Thr","protein-linked serine or threonine residue (O-glycosylation site)","4","4","346"
"CE5970","5(S),12(R)-dihydroxy-eicosa-2,8-trans-6,14-cis-tetraenoyl-CoA","4","4","346"
"34dhoxmand","3,4-dihydroxymandelic acid","4","4","346"
"CE5153","3(S)-hydroxy-13cis-docosenoyl-CoA","4","4","346"
"CE5154","trans,cis-2,13-docosadienoyl-CoA","4","4","346"
"didp","2'-deoxyinosine-5'-diphosphate","4","4","346"
"digalsgalside_hs","Digalactosylceramidesulfate","4","4","346"
"CE2596","trans,cis-dodeca-2,5-dienoyl-CoA","4","4","346"
"sl_L","(S)-3-sulfonatolactate(2-)","4","4","346"
"34dhpac","3,4-dihydroxyphenylacetaldehyde","4","4","346"
"C05301","2-hydroxy-17beta-estradiol","4","4","346"
"3ohdcoa","3-oxopalmitoyl-CoA(4-)","4","4","346"
"abt","L-arabinitol","4","4","346"
"CE5156","3-oxo-cis-15-tetracosaenoyl-CoA","4","4","346"
"CE5157","3(S)-hydroxy-cis-15-tetracosaenoyl-CoA","4","4","346"
"CE5158","trans,cis-2,15-tetracosadienoyl-CoA","4","4","346"
"lstn1gluc","Losartan-N1-glucuronide","4","4","346"
"acetol","hydroxyacetone","4","4","346"
"sgalside_hs","sulfatide galactocerebroside","4","4","346"
"CE6186","18E-20-oxo-20-CoA-LTB4","4","4","346"
"doco13ecoa","13-docosenoylcoa","4","4","346"
"docohexcoa","2,4,7,10,13,16-docosahexenoylcoa","4","4","346"
"docosdiac","docosanedioicacid","4","4","346"
"3otdcoa","3-oxotetradecanoyl-CoA","4","4","346"
"mdzglc","Midazolam-glucuronide","4","4","346"
"dolichol_U","dolichol","4","4","346"
"acgagbside_hs","alpha GalNAc globoside","4","4","346"
"ddsmsterol","7-dehydrodesmosterol","4","4","346"
"C05280","(3Z,6Z)-dodecadienoyl-CoA","4","4","346"
"lstnm1","Losartan-M1","4","4","346"
"acgalfucgalacgalfuc12gal14acglcgalgluside_hs","alpha-GalNAc-(1->3)-[alpha-Fuc-(1->2)]-beta-Gal-(1->3)-alpha-GalNAc-(1->3)-[alpha-Fuc-(1->2)]-beta-Gal-(1->4)-beta-GlcNAc-(1->3)-beta-Gal-(1->4)-beta-Glc-(1->1')-Cer","4","4","346"
"acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs","Type IIIAb","4","4","346"
"drib","2-deoxy-D-ribose","4","4","346"
"acgalfucgalacglcgalgluside_hs","alpha-D-GalNAc-(1->3)-[alpha-L-Fuc-(1->2)]-beta-D-Gal-(1->3)-beta-D-GlcNAc-(1->3)-beta-D-Gal-(1->4)-beta-D-Glc-(1->1')-Cer","4","4","346"
"acgam6p","N-acetyl-D-glucosamine 6-phosphate(2-)","4","4","346"
"lstnm2","Losartan-M2","4","4","346"
"acgbgbside_hs","beta GalNAc globoside","4","4","346"
"2ddecdicoa","2,6-dodecadienoylcoa","4","4","346"
"xoltri25","7alpha,25-dihydroxycholesterol","4","4","346"
"xoltri24","(24S)-7alpha,24-dihydroxycholesterol","4","4","346"
"dspvs","desacyl dehydro-pravastatin","4","4","346"
"CE5160","3-oxo-cis-9-octadecenoyl-CoA","4","4","346"
"limnen","limonene","4","4","346"
"c122_3Z_6Zcoa","M_c122_3Z_6Zcoa","4","4","346"
"c123_3Z_6Z_9Zcoa","M_c123_3Z_6Z_9Zcoa","4","4","346"
"lgt_S","(R)-S-lactoylglutathionate(1-)","4","4","346"
"2hatvacidgluc","2-hydroxy-atorvastatin-acyl-glucuronide","4","4","346"
"3snpyr","3-sulfinylpyruvic acid","4","4","346"
"2hatvlacgluc","2-hydroxy-atorvastatin-lactone-glucuronide","4","4","346"
"CE5161","3(S)-hydroxy-cis-9-octadecenoyl-CoA","4","4","346"
"ebastine","Ebastine","4","4","346"
"ebastineoh","hydroxylated ebastine","4","4","346"
"3spyr","3-sulfonatopyruvate(2-)","4","4","346"
"CE6240","9-deoxy-delta12-PGD2","4","4","346"
"eitetcoa","5,8,11,14-eicosatetraenoylcoa","4","4","346"
"elaid","elaidate","4","4","346"
"phyt2ohcoa","2-hydroxyphytanoyl-CoA(4-)","4","4","346"
"lstnm4","Losartan-M4 (glucuronide derivative)","4","4","346"
"CE6241","S-(9-deoxy-delta12-PGD2)-glutathione","4","4","346"
"selhcys","Se-methylselenocysteine","4","4","346"
"lald_L","(S)-lactaldehyde","4","4","346"
"acngalgbside_hs","sialyl galactosylgloboside","4","4","346"
"estriolglc","16-Glucuronide-estriol","4","4","346"
"CE6243","S-(9-deoxy-delta9,12-PGD2)-glutathione","4","4","346"
"estroneglc","Estrone glucuronide","4","4","346"
"CE5162","trans,cis-2,9-octadecadienoyl-CoA","4","4","346"
"CE4816","2-trans-9,12,15,18,21-all-cis-tetracosahexaenoyl-CoA","4","4","346"
"CE6250","hepoxilin A3-C","4","4","346"
"etha","ethanolaminium(1+)","4","4","346"
"ksii_core4","keratan sulfate II (core 4-linked)","4","4","346"
"CE5166","3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-oyl-CoA","4","4","346"
"f1a","F1alpha","4","4","346"
"CE4817","3(S)-hydroxy-docosa-7,10,13,16,19-all-cis-pentaenoyl-CoA","4","4","346"
"ksii_core2","keratan sulfate II (core 2-linked)","4","4","346"
"CE4818","3(S)-hydroxy-tetracosa-9,12,15,18,21-all-cis-pentaenoyl-CoA","4","4","346"
"CE4819","3-oxo-docosa-7,10,13,16,19-all-cis-pentaenoyl-CoA","4","4","346"
"udpxyl","UDP-alpha-D-xylose(2-)","4","4","346"
"fdp","keto-D-fructose 1,6-bisphosphate","4","4","346"
"sebacid","sebacic acid","4","4","346"
"sbt_D","sorbitol","4","4","346"
"3aib","(S)-3-aminoisobutyric acid","4","4","346"
"CE5236","O2-4a-cyclic-tetrahydrobiopterin","4","4","346"
"CE5239","2-hydroxy-17beta-estradiol-4-S-glutathione","4","4","346"
"lstnm5","Losartan-M5","4","4","346"
"2decdicoa","2,7-decadienoylcoa","4","4","346"
"s7p","sedoheptulose 7-phosphate(2-)","4","4","346"
"pdx5p","pyridoxine 5'-phosphate(2-)","4","4","346"
"ahandrostanglc","3alpha-hydroxy-5beta-androstan-17-one 3-glucosiduronic acid","4","4","346"
"s2l2n2m2mn","de-Fuc, reducing GlcNAc removed form of PA6 (w/o peptide linkage)","4","4","346"
"fuc12gal14acglcgalgluside_hs","Type IIH glycolipid","4","4","346"
"fuc13galacglcgal14acglcgalgluside_hs","III3Fuc-nLc6Cer","4","4","346"
"fuc14galacglcgalgluside_hs","Lea glycolipid","4","4","346"
"s2l2n2m2masn","de-Fuc form of PA6","4","4","346"
"fucacgalfucgalacglcgalgluside_hs","alpha-D-GalNAc-(1->3)-[alpha-L-Fuc-(1->2)]-beta-D-Gal-(1->3)-[alpha-L-Fuc-(1->4)]-beta-D-GlcNAc-(1->3)-beta-D-Gal-(1->4)-beta-D-Glc-(1->1')-Cer","4","4","346"
"fucacngal14acglcgalgluside_hs","alpha-Neu5Ac-(2->3)-beta-D-Gal (1->4)-[alpha-L-Fuc-(1->3)]-beta-D-GlcNAc-(1->3)-beta-D-Gal-(1->4)-beta-D-Glc-(1<->1')-Cer","4","4","346"
"aicar","5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide(2-)","4","4","346"
"fucfuc12gal14acglcgalgluside_hs","alpha-L-Fuc-(1->2)-beta-D-Gal-(1->4)-[alpha-L-Fuc-(1->3)]-beta-D-GlcNAc-(1->3)-beta-D-Gal-(1->4)-beta-D-Glc-(1->1')-Cer","4","4","346"
"fucfuc132galacglcgal14acglcgalgluside_hs","V3Fuc,III3Fuc-nLc6Cer","4","4","346"
"fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs","(Gal)4 (Glc)1 (GlcNAc)3 (LFuc)3 (Cer)1","4","4","346"
"fucfucfucgalacglcgal14acglcgalgluside_hs","(Gal)3 (Glc)1 (GlcNAc)2 (LFuc)3 (Cer)1","4","4","346"
"fucfucgalacglcgalgluside_hs","Leb glycolipid","4","4","346"
"fucgal14acglcgalgluside_hs","Lacto-N-fucopentaosyl III ceramide","4","4","346"
"fucgalacglcgal14acglcgalgluside_hs","alpha-L-Fuc-(1->2)-beta-D-Gal-(1->4)-beta-D-GlcNAc-(1->3)-beta-D-Gal-(1->4)-beta-D-GlcNAc-(1->3)-beta-D-Gal-(1->4)-beta-D-Glc-(1->1')-Cer","4","4","346"
"fucgalacglcgalgluside_hs","alpha-L-Fuc-(1->2)-beta-D-Gal-(1->3)-beta-D-GlcNAc-(1->4)-beta-D-Gal-(1->4)-beta-D-Glc-(1->1')-Cer","4","4","346"
"fucgalfucgalacglcgalgluside_hs","(Gal)3 (Glc)1 (GlcNAc)1 (LFuc)2 (Cer)1","4","4","346"
"fucgalgbside_hs","fucosyl galactosylgloboside","4","4","346"
"pd3","Previtamin D3","4","4","346"
"g1m6masnB1","glucosyl-(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)","4","4","346"
"g1m7masnB","glucosyl-(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform B (protein)","4","4","346"
"g1m7masnC","glucosyl-(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform C (protein)","4","4","346"
"CE5240","2-hydroxyestrone-4-S-glutathione","4","4","346"
"CE5241","2-hydroxy-17beta-estradiol-1-S-glutathione","4","4","346"
"g2m8masn","(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)","4","4","346"
"g3m8masn","(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)","4","4","346"
"CE5242","2-hydroxyestrone-1-S-glutathione","4","4","346"
"CE5243","4-hydroxy-17beta-estradiol-2-S-glutathione","4","4","346"
"CE5244","4-hydroxyestrone-2-S-glutathione","4","4","346"
"pcreat","N-phosphocreatinate(2-)","4","4","346"
"44mctr","4,4-dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol","4","4","346"
"aldstrn","aldosterone","4","4","346"
"retnglc","1-O-all-trans-retinoyl-beta-glucuronic acid","4","4","346"
"6htststerone","6beta-hydroxytestosterone","4","4","346"
"3decdicoa","3,7-decadienoylcoa","4","4","346"
"galacglcgalgbside_hs","Gal-GlcNAc-Gal globoside","4","4","346"
"galacglcgalgluside_hs","Lc4Cer","4","4","346"
"galfuc12gal14acglcgalgluside_hs","(Gal)3 (Glc)1 (GlcNAc)1 (LFuc)1 (Cer)1","4","4","346"
"galfucgalacglcgal14acglcgalgluside_hs","(Gal)4 (Glc)1 (GlcNAc)2 (LFuc)1 (Cer)1","4","4","346"
"galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs","alpha-D-Gal-(1->3)-beta-D-Gal-(1->4)-[alpha-L-Fuc-(1->3)]-beta-D-GlcNAc-(1->3)-[alpha-D-Gal-(1->3)-beta-D-Gal-(1->4)-[alpha-L-Fuc-(1->3)]-beta-D-GlcNAc-(1->6)]-beta-D-Gal-(1->4)-beta-D-GlcNAc-(1->3)-beta-D-Gal-(1->4)-beta-D-Glc-(1<->1')-Cer","4","4","346"
"galgalgalthcrm_hs","Gal-Gal-Gal-Gal-Gal-Glc-Cer","4","4","346"
"galgbside_hs","beta-D-Galp-(1->3)-beta-D-GalpNAc-(1->3)-alpha-D-Galp-(1->4)-beta-D-Galp-(1->4)-beta-D-Glcp-(1<->1')-Cer","4","4","346"
"2docopencoa","2,7,10,13,16-docosapentenoylcoa","4","4","346"
"5pmev","(R)-5-phosphonatomevalonate(3-)","4","4","346"
"3docopencoa","3,7,10,13,16-docosapentenoylcoa","4","4","346"
"35dsmv","3',5'-dihydrodiol-simvastatin-lactone form","4","4","346"
"2dodtricoa","2,6,9-dodecatrienoylcoa","4","4","346"
"CE2705","7,8-dihydrobiopterin","4","4","346"
"CE4821","2-trans-7,10,13,16,19-all-cis-docosahexaenoyl-CoA","4","4","346"
"andrstrnglc","androsterone 3-glucosiduronic acid","4","4","346"
"gd1a_hs","alpha-N-acetylneuraminosyl-(2->3)-beta-D-galactosyl-(1->3)-N-acetyl-beta-D-galactosaminyl-(1->4)-[alpha-N-acetylneuraminosyl-(2->3)]-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1')-N-acylsphingosine","4","4","346"
"4h2oglt","4-hydroxy-2-oxoglutarate(2-)","4","4","346"
"CE2203","25-hydroxyvitamin D3-26,23-lactol","4","4","346"
"3dodtricoa","3,6,9-dodecatrienoylcoa","4","4","346"
"3h26dm5coa","3-Hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA","4","4","346"
"apoC_Lys_btn","Holocarboxylase (biotin covalent bound to Lys residue of apoC)","4","4","346"
"apoC_Lys","Apocarboxylase (Lys residue)","4","4","346"
"apoC","Apocarboxlase (no lys residue)","4","4","346"
"6hsmv","6'-beta-hydroxy simvastatin lactone","4","4","346"
"am1accs","AM1Ac (cyclosporine)","4","4","346"
"glc1man","alpha-D-glucosyl-(1->3)-beta-D-mannose","4","4","346"
"3meacmp","3-methoxy-acetaminophen","4","4","346"
"3hbcoa","(S)-3-hydroxybutanoyl-CoA(4-)","4","4","346"
"5hoxindoa","(5-hydroxyindol-3-yl)acetic acid","4","4","346"
"CE2202","(23S)-23,25,26-trihydroxycalciol","4","4","346"
"ptvstm13","pitavastatin-M13","4","4","346"
"13_cis_oretn","13-cis-oxo-retinoic acid","4","4","346"
"oretn","4-oxo-retinoic acid","4","4","346"
"glu5sa","L-glutamic 5-semialdehyde","4","4","346"
"retinal_11_cis","11-cis-retinal","4","4","346"
"tmdm3","Torasemide-M3","4","4","346"
"CE6508","5-hydroperoxy-EPA","4","4","346"
"CE4830","2-trans-9,12,15,18-all-cis-tetracosapentaenoyl-CoA","4","4","346"
"2hexdtetcoa","2,7,10,13-hexadecatetraenoylcoa","4","4","346"
"CE1589","deoxycholoyl-CoA(4-)","4","4","346"
"5dpmev","(R)-5-diphosphomevalonic acid","4","4","346"
"ptvstm3","pitavastatin-M3","4","4","346"
"tmdm5","Torasemide-M5","4","4","346"
"CE4831","3(S)-hydroxy-docosa-7,10,13,16-all-cis-tetraenoyl-CoA","4","4","346"
"2hexdtricoa","2,7,10-hexadecatrienoylcoa","4","4","346"
"c185_3Z_6Z_9Z_12Z_15Zcoa","M_c185_3Z_6Z_9Z_12Z_15Zcoa","4","4","346"
"5aop","5-aminolevulinic acid","4","4","346"
"6hlvstacid","6'-beta-hydroxy-lovastatin-acid form","4","4","346"
"CE7091","15(R)-hydroperoxy-EPE","4","4","346"
"glygn2","glycogen, structure 2 (glycogenin-1,6-{7[1,4-Glc], 4[1,4-Glc]})","4","4","346"
"betald","betaine aldehyde","4","4","346"
"hspg","heparan sulfate proteoglycan","4","4","346"
"bglc","beta-glucans","4","4","346"
"hpdcacoa","heptadecanoyl coa","4","4","346"
"homoval","homovanillic acid","4","4","346"
"CE4833","3-oxo-docosa-7,10,13,16-all-cis-tetraenoyl-CoA","4","4","346"
"CE1352","17alpha-hydroxypregnenolone sulfate","4","4","346"
"hexe3coa","3-hexenoylcoa","4","4","346"
"CE5307","3-oxo-10(R)-hydroxy-octadeca-6E,8E,12Z-trienoate","4","4","346"
"CE1298","3beta-hydroxy-5-cholestenal","4","4","346"
"11docrtsl","11-deoxycortisol","4","4","346"
"hexdectecoa","2,4,7,10-hexadecatetraenoylcoa","4","4","346"
"CE5319","3-oxo-10(S)-hydroxy-octadeca-6E,8E,12Z-trienoate","4","4","346"
"btamp","biotinyl-5'-AMP","4","4","346"
"CE1292","3beta-hydroxy-5-cholestene-27-oate","4","4","346"
"hestratriol","M_hestratriol","4","4","346"
"gq1balpha_hs","GQ1balpha","4","4","346"
"hedepecoa","2,4,7,10,13-hexadecapentaenoylcoa","4","4","346"
"grdp","geranyl diphosphate(3-)","4","4","346"
"5adtststeroneglc","5alpha-Dihydrotestosterone glucuronide","4","4","346"
"gt1a_hs","alpha-Neu5Ac-(2->8)-alpha-Neu5Ac-(2->3)-beta-Gal-(1->3)-beta-GalNAc-(1->4)-[alpha-Neu5Ac-(2->3)]-beta-Gal-(1->4)-beta-Glc-(1<->1')-Cer","4","4","346"
"4ppan","(R)-4'-phosphonatopantothenate(3-)","4","4","346"
"gt3_hs","GT3","4","4","346"
"ndersv","N-desmethyl-rosuvastatin","4","4","346"
"zymstnl","5alpha-cholest-8-en-3beta-ol","4","4","346"
"CE7144","13-hydroxy-alpha-tocotrienol","4","4","346"
"bz","benzoate","4","4","346"
"octe5coa","5-octenoylcoa","4","4","346"
"CE7172","14,15-DiHETE","4","4","346"
"gum","gums","4","4","346"
"CE4840","(3S)-hydroxy-eicosa-cis,cis-11,14-dienoyl-CoA","4","4","346"
"ha","hyaluronic acid","4","4","346"
"c10dc","sebacoyl carnitine","4","4","346"
"c51crn","tiglyl carnitine","3","3","439"
"4tmeabut","4-trimethylammoniobutanal","3","3","439"
"56dihindlcrbxlt","5,6-dihydroxyindole-2-carboxylate","3","3","439"
"xol25oh","25-hydroxycholesterol","3","3","439"
"gullac","L-gulono-1,4-lactone","3","3","439"
"hcoumarin","umbelliferone","3","3","439"
"56dura","5,6-dihydrouracil","3","3","439"
"gt1b_hs","alpha-Neu5Ac-(2->3)-beta-Gal-(1->3)-beta-GalNAc-(1->4)-[alpha-Neu5Ac-(2->8)-alpha-Neu5Ac-(2->3)]-beta-Gal-(1->4)-beta-Glc-(1<->1')-Cer","3","3","439"
"4nphsf","4-nitrophenyl hydrogen sulfate","3","3","439"
"hdd2crn","trans-Hexadec-2-enoyl carnitine","3","3","439"
"hdeACP","trans-Hexadec-2-enoyl-[acp]","3","3","439"
"gq1c_hs","GQ1c","3","3","439"
"gq1b_hs","GQ1b","3","3","439"
"hexc","cerotate","3","3","439"
"gp1calpha_hs","GP1c alpha","3","3","439"
"hexccrn","hexacosanoyl carnitine","3","3","439"
"gp1c_hs","GP1c","3","3","439"
"hexdiac","hexadecanedioic acid","3","3","439"
"gm3_hs","alpha-N-acetylneuraminosyl-(2->3)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1')-N-acylsphingosine(1-)","3","3","439"
"gm1b_hs","alpha-Neu5Ac-(2->3)-beta-D-Gal-(1->3)-beta-D-GalNAc-(1->4)-beta-D-Gal-(1->4)-beta-D-Glc-(1<->1')-Cer","3","3","439"
"glysar","Glycylsarcosine","3","3","439"
"glypro","Gly-Pro","3","3","439"
"4mzym_int1","4beta-methylzymosterol-4alpha-carboxylic acid","3","3","439"
"4mtolbutamide","4-hydroxytolbutamide","3","3","439"
"glyphe","Glycylphenylalanine","3","3","439"
"hpdca","margarate","3","3","439"
"glyleu","Glycylleucine","3","3","439"
"hpdcacrn","heptadecanoyl carnitine","3","3","439"
"glygn5","glycogen, structure 5 (glycogenin-2[1,4-Glc])","3","3","439"
"hretn","all-trans-4-hydroxyretinoic acid","3","3","439"
"glygn4","glycogen, structure 4 (glycogenin-1,6-{2[1,4-Glc], [1,4-Glc]})","3","3","439"
"htaxol","6-hydroxypaclitaxel","3","3","439"
"glygn3","glycogen, structure 3 (glycogenin-7[1,4-Glc])","3","3","439"
"glygly","glycylglycine","3","3","439"
"glyc_S","glycerate","3","3","439"
"hxdcal","hexadecanal","3","3","439"
"glucys","L-gamma-glutamyl-L-cysteinate(1-)","3","3","439"
"gluala","L-gamma-glutamyl-L-alanine","3","3","439"
"5homeprazole","5 hydroxy omeprazole","3","3","439"
"4hphac","4-hydroxyphenylacetate","3","3","439"
"id3acald","indol-3-ylacetaldehyde","3","3","439"
"xol7ah","7alpha-hydroxy-5beta-cholestan-3-one","3","3","439"
"gdpddman","GDP-4-dehydro-6-deoxy-alpha-D-mannose(2-)","3","3","439"
"gd1c_hs","GD1c","3","3","439"
"im4act","imidazole-4-acetaldehyde","3","3","439"
"4hdebrisoquine","4-hydroxydebrisoquin","3","3","439"
"ind3ac","indole-3-acetate","3","3","439"
"gd1b2_hs","GD1beta","3","3","439"
"gal1p","alpha-D-galactose 1-phosphate(2-)","3","3","439"
"iodine","diiodine","3","3","439"
"gacpail_hs","N-acetyl-D-glucosaminylphosphatidylinositol","3","3","439"
"itaccoa","itaconyl-CoA(5-)","3","3","439"
"3ump","3'-UMP(2-)","3","3","439"
"ga2_hs","GA2","3","3","439"
"ivcrn","isovaleryl carnitine","3","3","439"
"3ttetddcoacrn","3-hydroxy trans5,8tetradecadienoyl carnitine","3","3","439"
"xoldioloneh","7alpha,12alpha-dihydroxy-5beta-cholestan-3-one","3","3","439"
"ksi_deg11","keratan sulfate I, degradation product 11","3","3","439"
"ksi_deg12","keratan sulfate I, degradation product 12","3","3","439"
"ksi_deg14","keratan sulfate I, degradation product 14","3","3","439"
"ksi_deg15","keratan sulfate I, degradation product 15","3","3","439"
"ksi_deg17","keratan sulfate I, degradation product 17","3","3","439"
"ksi_deg18","keratan sulfate I, degradation product 18","3","3","439"
"ksi_deg1","keratan sulfate I, degradation product 1","3","3","439"
"ksi_deg20","keratan sulfate I, degradation product 20","3","3","439"
"ksi_deg21","keratan sulfate I, degradation product 21","3","3","439"
"ksi_deg23","keratan sulfate I, degradation product 23","3","3","439"
"ksi_deg24","keratan sulfate I, degradation product 24","3","3","439"
"ksi_deg26","keratan sulfate I, degradation product 26","3","3","439"
"ksi_deg27","keratan sulfate I, degradation product 27","3","3","439"
"ksi_deg29","keratan sulfate I, degradation product 29","3","3","439"
"ksi_deg30","keratan sulfate I, degradation product 30","3","3","439"
"ksi_deg32","keratan sulfate I, degradation product 32","3","3","439"
"ksi_deg33","keratan sulfate I, degradation product 33","3","3","439"
"ksi_deg35","keratan sulfate I, degradation product 35","3","3","439"
"ksi_deg36","keratan sulfate I, degradation product 36","3","3","439"
"ksi_deg38","keratan sulfate I, degradation product 38","3","3","439"
"ksi_deg6","keratan sulfate I, degradation product 6","3","3","439"
"ksi_deg8","keratan sulfate I, degradation product 8","3","3","439"
"ksi_deg9","keratan sulfate I, degradation product 9","3","3","439"
"fucacngalacglcgalgluside_hs","IV3-a-Neu5Ac,III4-a-Fuc-Lc4Cer","3","3","439"
"ksii_core2_deg3","keratan sulfate II (core 2-linked), degradation product 3","3","3","439"
"fna5moxam","Formyl-N-acetyl-5-methoxykynurenamine","3","3","439"
"ksii_core2_deg6","keratan sulfate II (core 2-linked), degradation product 6","3","3","439"
"ksii_core2_deg8","keratan sulfate II (core 2-linked), degradation product 8","3","3","439"
"C01241","phosphatidyl-N-methylethanolamine","3","3","439"
"ksii_core4_deg3","keratan sulfate II (core 4-linked), degradation product 3","3","3","439"
"C01747","psychosine(1+)","3","3","439"
"kynate","kynurenate","3","3","439"
"l2fn2m2masn","{[galactosyl-(1,4)-N-Acetyl-glucosaminyl-(1,2)-mannosyl-(1,3)-],[N-acetyl-glucosaminyl-(1,2)-mannosyl-(1,6)-]mannosyl-(1,4)-N-acetyl-glucosaminyl-(1,4)-[fucosyl-(1,6)]-N-acetyl-glucosaminyl}asparagine","3","3","439"
"l2n2m2mn","de-Fuc, reducing GlcNAc removed, de-Sia form of PA6 (w/o peptide linkage)","3","3","439"
"etfrd","Reduced flavoprotein","3","3","439"
"3ttetddcoa","3-hydroxy trans5,8tetradecadienoyl coa","3","3","439"
"etfox","Oxidized flavoprotein","3","3","439"
"C03413","N(1),N(12)-diacetylsperminium(2+)","3","3","439"
"em3gacpail_hs","phosphoethanolaminyl-trimannosyl-glucosaminyl-acylphosphatidylinositol (H6)","3","3","439"
"eicostetcrn","Eicosatetranoyl carnitine","3","3","439"
"3thexddcoacrn","3-hydroxy trans7,10-hexadecadienoyl carnitine","3","3","439"
"leugly","Leucylglycine","3","3","439"
"3thexddcoa","3-hydroxy trans7,10-hexadecadienoylcoa","3","3","439"
"3tetd7ecoacrn","3-hydroxy tetradecenoyl-7-carnitine","3","3","439"
"3tetd7ecoa","3-hydroxy tetradecenoyl-7-coa","3","3","439"
"3tdcrn","3-hydroxy-tetradecanoyl carnitine","3","3","439"
"eicostet","icosatetraenoic acid","3","3","439"
"eandrstrn","16alpha-hydroxydehydroepiandrosterone","3","3","439"
"leuleu","Leucylleucine","3","3","439"
"eaflatoxin","aflatoxin B1 exo-8,9-epoxide","3","3","439"
"e4p","D-erythrose 4-phosphate(2-)","3","3","439"
"lgnccrn","lignoceryl carnitine","3","3","439"
"dxtrn","phosphorylase-limit dextrin (glycogenin-1,6{4[1,4-Glc], 4[1,4-Glc]})","3","3","439"
"C04295","androst-5-ene-3beta,17beta-diol","3","3","439"
"C04843","(5Z,9E,12S,14Z)-8,11,12-trihydroxyicosa-5,9,14-trienoate","3","3","439"
"xser","Xyl-L-Ser (protein)","3","3","439"
"lneldc","linoelaidic acid (all trans C18:2)","3","3","439"
"dopasf","dopamine 3-O-sulfate","3","3","439"
"C05284","11beta-hydroxyandrost-4-ene-3,17-dione","3","3","439"
"dodecanac","dodecanedioic acid","3","3","439"
