identifier	name
R_r0047	Adenosine 5-monophosphate phosphohydrolase Purine metabolism EC:3.1.3.5
R_r0055	2-Oxopropanal:NADP+ oxidoreductase Pyruvate metabolism EC:1.2.1.49
R_r0062	Acetyl-CoA hydrolase Pyruvate metabolism EC:3.1.2.1
R_r0068	Acetyl adenylate:CoA ligase (AMP-forming) Pyruvate metabolism EC:6.2.1.1
R_r0074	L-Glutamate 5-semialdehyde:NAD+ oxidoreductase Arginine and proline metabolism EC:1.5.1.12
R_r0082	Oxalosuccinate:NADP+ oxidoreductase (decarboxylating) Citrate cycle (TCA cycle) EC:1.1.1.42
R_r0084	Oxalosuccinate:NADP+ oxidoreductase (decarboxylating) Citrate cycle (TCA cycle) EC:1.1.1.42
R_r0085	2-Oxoglutaramate amidohydrolase Glutamate metabolism EC:3.5.1.3
R_r0086	2-Oxoglutaramate amidohydrolase Glutamate metabolism EC:3.5.1.3
R_r0097	Acetate:CoA ligase (AMP-forming) Pyruvate metabolism EC:6.2.1.1
R_r0113	UDP-N-acetyl-D-glucosamine 2-epimerase Aminosugars metabolism EC:5.1.3.14
R_r0119	Guanosine 5-triphosphate pyrophosphohydrolase Purine metabolism EC:3.6.1.19
R_r0120	GTP 7,8-8,9-dihydrolase Folate biosynthesis EC:3.5.4.16
R_r0121	r0121
R_r0122	GTP:pyruvate O2-phosphotransferase Purine metabolism EC:2.7.1.40
R_r0127	L-Asparagine amidohydrolase Alanine and aspartate metabolism / Cyanoamino acid metabolism / Nitrogen metabolism EC:3.5.1.1 EC:3.5.1.38
R_r0129	gamma-glutamyltranspeptidase Glutathione metabolism EC:3.4.11.4
R_r0142	Sulfite:oxygen oxidoreductase Sulfur metabolism EC:1.8.3.1
R_r0153	CTP:pyruvate O2-phosphotransferase EC:2.7.1.40
R_r0156	L-Glutamine:pyruvate aminotransferase Glutamate metabolism EC:2.6.1.15
R_r0157	L-Glutamine:pyruvate aminotransferase Glutamate metabolism EC:2.6.1.15
R_r0160	L-Serine:pyruvate aminotransferase Glycine, serine and threonine metabolism EC:2.6.1.51
R_r0163	2-oxoglutarate dehydrogenase E1 component Citrate cycle (TCA cycle) EC:1.2.4.2
R_r0165	UTP:pyruvate O2-phosphotransferase EC:2.7.1.40
R_r0170	Farnesyl-diphosphate:farnesyl-diphosphate farnesyltransferase Biosynthesis of steroids EC:2.5.1.21
R_r0173	(S)-Lactate:NAD+ oxidoreductase Glycolysis / Gluconeogenesis / Pyruvate metabolism EC:1.1.1.27
R_r0178	Succinate-semialdehyde:NAD+ oxidoreductase Glutamate metabolism / Tyrosine metabolism / Butanoate metabolism EC:1.2.1.24 EC:1.2.1.16
R_r0179	Succinate-semialdehyde:NADP+ oxidoreductase Glutamate metabolism / Tyrosine metabolism / Butanoate metabolism EC:1.2.1.16
R_r0186	Ethanolamine-phosphate phospho-lyase (deaminating) EC:4.2.3.2
R_r0191	UTP:D-fructose-6-phosphate 1-phosphotransferase EC:2.7.1.11
R_r0193	L-Cysteine L-homocysteine-lyase (deaminating) Cysteine metabolism EC:4.4.1.1
R_r0196	Succinyl-CoA:glycine C-succinyl-transferase(decarboxylating) EC:2.3.1.37
R_r0202	sn-Glycerol-3-phosphate:NAD+ 2-oxidoreductase Glycerophospholipid metabolism EC:1.1.1.8
R_r0208	GTP:alpha-D-mannose-1-phosphate guanylyltransferase Fructose and mannose metabolism EC:2.7.7.13
R_r0210	L-Serine hydro-lyase (adding homocysteine) Glycine, serine and threonine metabolism EC:4.2.1.22
R_r0220	Propinol adenylate:CoA ligase (AMP-forming) Propanoate metabolism EC:6.2.1.17 EC:6.2.1.1
R_r0221	Propinol adenylate:CoA ligase (AMP-forming) Propanoate metabolism EC:6.2.1.17
R_r0224	5,6,7,8-Tetrahydrofolate:NAD+ oxidoreductase One carbon pool by folate EC:1.5.1.3
R_r0226	5,6,7,8-Tetrahydrofolate:NADP+ oxidoreductase One carbon pool by folate / Folate biosynthesis EC:1.5.1.3
R_r0236	5,6-Dihydrouracil:NAD+ oxidoreductase Pyrimidine metabolism EC:1.3.1.1
R_r0239	N-Formylanthranilate amidohydrolase Tryptophan metabolism EC:3.5.1.9
R_r0245	Glycerol:NADP+ oxidoreductase Glycerolipid metabolism EC:1.1.1.2 EC:1.1.1.72
R_r0246	Glycerol:NADP+ oxidoreductase Glycerolipid metabolism EC:1.1.1.72 EC:1.1.1.2
R_r0249	D-Ribose-5-phosphate ketol-isomerase Pentose phosphate pathway EC:5.3.1.6
R_r0267	CMP-N-acetylneuraminate,ferrocytochrome-b5:oxygen oxidoreductase (N-acetyl-hydroxylating) Aminosugars metabolism EC:1.14.18.2
R_r0268	cytidine monophospho-N-acetylneuraminic acid hydroxylase EC:1.14.18.2
R_r0280	dATP:pyruvate O2-phosphotransferase Purine metabolism EC:2.7.1.40
R_r0283	L-Histidine:beta-alanine ligase (AMP-forming) Alanine and aspartate metabolism / Histidine metabolism / beta-Alanine metabolism EC:6.3.2.11
R_r0287	Acetyl-CoA:acetyl-CoA C-acetyltransferase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:2.3.1.16
R_r0295	glycine synthase Nitrogen metabolism EC:2.1.2.10
R_r0301	Xanthosine-5-phosphate:ammonia ligase (AMP-forming) Purine metabolism EC:6.3.4.1
R_r0308	Palmitoyl-CoA hydrolase Fatty acid elongation in mitochondria EC:3.1.2.22 EC:3.1.2.2
R_r0309	trans-Hexadec-2-enoyl-CoA reductase Fatty acid elongation in mitochondria EC:1.3.1.38
R_r0310	Palmitoyl-CoA:oxygen 2-oxidoreductase Fatty acid metabolism EC:1.3.3.6 EC:1.3.99.3
R_r0311	Palmitate:CoA ligase (AMP-forming) Fatty acid metabolism EC:6.2.1.3
R_r0318	Propanoate:CoA ligase (AMP-forming) Propanoate metabolism EC:6.2.1.1 EC:6.2.1.17
R_r0319	Propanoate:CoA ligase (AMP-forming) Propanoate metabolism EC:6.2.1.1 EC:6.2.1.17
R_r0321	Acetoacetate:CoA ligase (AMP-forming) Butanoate metabolism EC:6.2.1.16
R_r0330	5,6-Dihydrothymine:NAD+ oxidoreductase Pyrimidine metabolism EC:1.3.1.1
R_r0331	5,6-Dihydrothymine:NAD+ oxidoreductase Pyrimidine metabolism EC:1.3.1.1
R_r0339	ATP:(R)-glycerate 3-phosphotransferase Glycine, serine and threonine metabolism EC:2.7.1.31
R_r0340	ATP:(R)-glycerate 3-phosphotransferase Glycine, serine and threonine metabolism EC:2.7.1.31
R_r0345	ATP:AMP phosphotransferase Purine metabolism EC:2.7.4.11
R_r0354	Glycolysis / Glyconeogenesis EC:2.7.1.1
R_r0355	Glycolysis / Glyconeogenesis EC:2.7.1.1
R_r0357	Glycolysis / Glyconeogenesis EC:2.7.1.1
R_r0358	Glycolysis / Glyconeogenesis EC:2.7.1.1
R_r0360	Glycolysis / Glyconeogenesis EC:2.7.1.1
R_r0361	Glycolysis / Glyconeogenesis EC:2.7.1.1
R_r0363	Glycolysis / Glyconeogenesis EC:2.7.1.1
R_r0364	Glycolysis / Glyconeogenesis EC:2.7.1.1
R_r0365	3-hydroxypropanoate:NAD+ oxidoreductase beta-Alanine metabolism / Propanoate metabolism EC:1.1.1.59
R_r0366	[Acyl-carrier-protein] 4-pantetheine-phosphohydrolase Pantothenate and CoA biosynthesis EC:3.1.4.14
R_r0368	CoA:apo-[acyl-carrier-protein] pantetheinephosphotransferase Pantothenate and CoA biosynthesis EC:2.7.8.7
R_r0377	ATP:deoxycitidine 5-phosphotransferase Pyrimidine metabolism EC:2.7.1.74
R_r0381	hypotaurine:NAD+ oxidoreductase Taurine and hypotaurine metabolism EC:1.8.1.3
R_r0383	pyruvate:[dihydrolipoyllysine-residue acetyltransferase]-lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-acetylating) EC:1.2.4.1
R_r0384	2-oxoglutarate:[dihydrolipoyllysine-residue succinyltransferase]-lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-succinylating) EC:1.2.4.2
R_r0386	4-methyl-2-oxopentanoate:[dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-2-methylpropanoylating) EC:1.2.4.4
R_r0388	Pyridoxamine:oxygen oxidoreductase (deaminating) Vitamin B6 metabolism EC:1.4.3.5
R_r0389	Pyridoxine:oxygen oxidoreductase (deaminating) Vitamin B6 metabolism EC:1.1.3.12
R_r0391	Nicotinate D-ribonucleotide:pyrophosphate phosphoribosyltransferase Nicotinate and nicotinamide metabolism EC:2.4.2.11
R_r0392	D-Glyceraldehyde:NAD+ oxidoreductase Glycerolipid metabolism EC:1.2.1.3
R_r0393	D-Glyceraldehyde:NAD+ oxidoreductase Glycerolipid metabolism EC:1.2.1.3
R_r0394	Xanthine:NAD+ oxidoreductase Purine metabolism EC:1.17.1.4
R_r0395	Hypoxanthine:oxygen oxidoreductase Purine metabolism EC:1.17.3.2
R_r0398	NADPH:6,7-dihydropteridine oxidoreductase Folate biosynthesis EC:1.5.1.34
R_r0399	L-Phenylalanine,tetrahydrobiopterin:oxygen oxidoreductase (4-hydroxylating) Phenylalanine, tyrosine and tryptophan biosynthesis EC:1.14.16.1
R_r0400	N-acetylneuraminate,ferrocytochrome-b5:oxygen oxidoreductase (N-acetyl-hydroxylating) Aminosugars metabolism EC:1.14.18.2
R_r0403	L-Tryptophan,tetrahydrobiopterin:oxygen oxidoreductase (5-hydroxylating) Tryptophan metabolism EC:1.14.16.4
R_r0407	Sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase Carbon fixation EC:4.1.2.13
R_r0408	ATP:Sedoheptulose 7-phosphate 1-phosphotransferase EC:2.7.1.11
R_r0409	UTP:Sedoheptulose 7-phosphate 1-phosphotransferase EC:2.7.1.11
R_r0413	dATP:pyruvate O2-phosphotransferase Purine metabolism EC:2.7.1.40
R_r0422	Isocitrate:NADP+ oxidoreductase (decarboxylating) Citrate cycle (TCA cycle) EC:1.1.1.42
R_r0423	Isocitrate:NADP+ oxidoreductase (decarboxylating) Citrate cycle (TCA cycle) EC:1.1.1.42
R_r0424	Isocitrate:NADP+ oxidoreductase (decarboxylating) Citrate cycle (TCA cycle) EC:1.1.1.42
R_r0430	Palmitoyl-CoA:L-carnitine O-palmitoyltransferase Fatty acid metabolism EC:2.3.1.21
R_r0431	Palmitoyl-CoA:L-carnitine O-palmitoyltransferase Fatty acid metabolism EC:2.3.1.21
R_r0432	Palmitoyl-CoA:L-carnitine O-palmitoyltransferase Fatty acid metabolism EC:2.3.1.21
R_r0433	Palmitoyl-CoA:L-carnitine O-palmitoyltransferase Fatty acid metabolism EC:2.3.1.21
R_r0434	Palmitoyl-CoA:L-carnitine O-palmitoyltransferase Fatty acid metabolism EC:2.3.1.21
R_r0437	Palmitoyl-CoA:L-carnitine O-palmitoyltransferase Fatty acid metabolism EC:2.3.1.21
R_r0441	Palmitoyl-CoA:L-carnitine O-palmitoyltransferase Fatty acid metabolism EC:2.3.1.21
R_r0443	Palmitoyl-CoA:L-carnitine O-palmitoyltransferase Fatty acid metabolism EC:2.3.1.21
R_r0450	L-2-Aminoadipate:2-oxoglutarate aminotransferase Lysine biosynthesis / Lysine degradation EC:2.6.1.39
R_r0451	2-Oxoadipate:lipoamde 2-oxidoreductase(decarboxylating and acceptor-succinylating) Lysine degradation EC:1.2.4.2
R_r0456	ATP:deoxyguanosine 5-phosphotransferase Purine metabolism EC:2.7.1.113
R_r0464	4-Aminobutyraldehyde:NAD+ oxidoreductase Urea cycle and metabolism of amino groups EC:1.2.1.3
R_r0465	L-Histidine:4-aminobutanoate ligase (AMP-forming) Urea cycle and metabolism of amino groups EC:6.3.2.11
R_r0466	alpha-Aminobutyryl histidine hydrolase Urea cycle and metabolism of amino groups EC:3.4.13.3
R_r0480	S-Adenosyl-L-methionine:ethanolamine-phosphate N-methyltransferase Glycerophospholipid metabolism EC:2.1.1.103
R_r0483	(R)-3-Amino-2-methylpropanoate:2-oxoglutarate aminotransferase EC:2.6.1.22
R_r0502	xanthine:NAD+ oxidoreductase Purine metabolism EC:1.17.1.4
R_r0504	Xanthine:oxygen oxidoreductase Purine metabolism EC:1.17.3.2
R_r0511	steroyl-CoA,hydrogen-donor:oxygen oxidoreductase Polyunsaturated fatty acid biosynthesis EC:1.14.19.1
R_r0512	Dihydrofolate:NAD+ oxidoreductase Folate biosynthesis EC:1.5.1.3
R_r0514	Dihydrofolate:NADP+ oxidoreductase One carbon pool by folate / Folate biosynthesis EC:1.5.1.3
R_r0517	Succinyl-CoA:glycine C-succinyl-transferase(decarboxylating) EC:2.3.1.37
R_r0522	S-Aminomethyldihydrolipoylprotein:(6S)-tetrahydrofolate aminomethyltransferase (ammonia-forming) One carbon pool by folate EC:2.1.2.10
R_r0523	5-Formyltetrahydrofolate cyclo-ligase (ADP-forming) One carbon pool by folate EC:6.3.3.2
R_r0525	N6-(L-1,3-Dicarboxypropyl)-L-lysine:NAD+ oxidoreductase; N6-(L-1,3-Dicarboxypropyl)-L-lysine:NAD+ oxidoreductase (L-glutamate-forming) Lysine degradation EC:1.5.1.9
R_r0527	Nicotinamide-D-ribonucleotide amidohydrolase Nicotinate and nicotinamide metabolism EC:3.5.1.42
R_r0531	dUTP:cytidine 5-phosphotransferase Pyrimidine metabolism EC:2.7.1.48
R_r0537	Sphinganine-1-phosphate pamlmitaldehyde-lyase Sphingolipid metabolism EC:4.1.2.27
R_r0539	Cysteamine:oxygen oxidoreductase Taurine and hypotaurine metabolism EC:1.13.11.19
R_r0541	Glutaryl-CoA:(acceptor) 2,3-oxidoreductase (decarboxylating) Fatty acid metabolism EC:1.3.99.7
R_r0545	Phenylacetaldehyde:NAD+ oxidoreductase Phenylalanine metabolism / Styrene degradation EC:1.2.1.5 EC:1.2.1.39
R_r0546	Phenylacetaldehyde:NAD+ oxidoreductase Phenylalanine metabolism / Styrene degradation EC:1.2.1.5 EC:1.2.1.39
R_r0547	Aldehyde:NADP+ oxidoreductase Phenylalanine metabolism EC:1.2.1.5
R_r0548	Aldehyde:NADP+ oxidoreductase Phenylalanine metabolism EC:1.2.1.5
R_r0549	4-aminobutanal:NAD+ 1-oxidoreductase; 4-aminobutyraldehyde:NAD+ oxidoreductase Urea cycle and metabolism of amino groups / beta-Alanine metabolism EC:1.2.1.3 EC:1.2.1.19
R_r0552	p-cumic alcohol:NAD+ oxidoreductase Glycine, serine and threonine metabolism EC:1.2.1.8
R_r0553	p-Cumic alcohol:NADP+ oxidoreductase Glycine, serine and threonine metabolism EC:1.2.1.8
R_r0555	acetyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-acetyltransferase Glycolysis / Gluconeogenesis / Alanine and aspartate metabolism / Pyruvate metabolism EC:2.3.1.12
R_r0556	succinyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-succinyltransferase Citrate cycle (TCA cycle) EC:2.3.1.61
R_r0557	Glutaryl-CoA:dihydrolipoamide S-succinyltransferase Lysine degradation EC:2.3.1.61
R_r0558	Gentisate aldehyde:NAD+ oxidoreductase Tyrosine metabolism EC:1.2.1.29
R_r0559	aldehyde oxidase Tyrosine metabolism EC:1.2.3.1
R_r0560	2-Methylpropanoyl-CoA:oxygen 2,3-oxidoreductase Valine, leucine and isoleucine degradation EC:1.3.99.2
R_r0568	(5-L-Glutamyl)-L-amino-acid 5-glutamyltransferase (cyclizing) Glutathione metabolism EC:2.3.2.4
R_r0570	2-Deoxy-D-ribose 1-phosphate 1,5-phosphomutase Pentose phosphate pathway EC:5.4.2.7
R_r0571	(S)-Methylmalonyl-CoA hydrolase Propanoate metabolism EC:3.1.2.17
R_r0573	Cholate:CoA ligase (AMP-forming) Bile acid biosynthesis EC:6.2.1.7
R_r0575	Presqualene diphosphate:farnesyl-diphosphate farnesyltransferase Biosynthesis of steroids EC:2.5.1.21
R_r0578	ATP:pantothenate 4-phosphotransferase Pantothenate and CoA biosynthesis EC:2.7.1.33
R_r0579	ATP:pantothenate 4-phosphotransferase Pantothenate and CoA biosynthesis EC:2.7.1.33
R_r0580	N-((R)-Pantothenoyl)-L-cysteine carboxy-lyase Pantothenate and CoA biosynthesis EC:4.1.1.30
R_r0584	Deamino-NAD+ nucleotidohydrolase Nicotinate and nicotinamide metabolism EC:3.6.1.9
R_r0590	ATP:pantetheine-4-phosphate adenylyltransferase Pantothenate and CoA biosynthesis EC:2.7.7.3
R_r0591	Dephospho-CoA nucleotidohydrolase Pantothenate and CoA biosynthesis EC:3.6.1.9
R_r0594	L-2-Aminoadipate-6-semialdehyde:NAD+ 6-oxidoreductase Lysine degradation EC:1.2.1.31
R_r0595	3-Mercaptopyruvate:cyanide sulfurtransferase Cysteine metabolism EC:2.8.1.2
R_r0596	3-hydroxyisobutyryl-CoA hydrolase beta-Alanine metabolism / Propanoate metabolism EC:3.1.2.4
R_r0603	(S)-2-methylbutanoyl-CoA:acceptor 2,3-oxidoreductase Valine, leucine and isoleucine degradation EC:1.3.99.12
R_r0604	(S)-2-methylbutanoyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-(2-methylbutanoyl)transferase Valine, leucine and isoleucine degradation EC:2.3.1.168
R_r0610	CTP:D-Tagatose 6-phosphate 1-phosphotransferase Galactose metabolism EC:2.7.1.11
R_r0611	ITP:D-Tagatose 6-phosphate 1-phosphotransferase Galactose metabolism EC:2.7.1.11
R_r0615	trans-4-Hydroxy-L-proline:NAD+ 5-oxidoreductase Arginine and proline metabolism EC:1.5.1.2
R_r0616	trans-4-Hydroxy-L-proline:NAD+ 5-oxidoreductase Arginine and proline metabolism EC:1.5.1.2
R_r0617	trans-4-Hydroxy-L-proline:NADP+ 5-oxidoreductase Arginine and proline metabolism EC:1.5.1.2
R_r0618	trans-4-Hydroxy-L-proline:NADP+ 5-oxidoreductase Arginine and proline metabolism EC:1.5.1.2
R_r0620	2-oxoglutarate dehydrogenase E1 component Citrate cycle (TCA cycle) EC:1.2.4.2
R_r0625	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-al:NAD+ 26-oxidoreductase Bile acid biosynthesis EC:1.2.1.40
R_r0629	Choloyl-CoA:glycine N-choloyltransferase Bile acid biosynthesis / Taurine and hypotaurine metabolism EC:2.3.1.65
R_r0630	Choloyl-CoA:glycine N-choloyltransferase Bile acid biosynthesis / Taurine and hypotaurine metabolism EC:2.3.1.65
R_r0633	trans-Oct-2-enoyl-CoA reductase Fatty acid elongation in mitochondria EC:1.3.1.38
R_r0634	Octanoyl-CoA:acetyl-CoA C-acyltransferase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:2.3.1.16
R_r0638	trans-Dodec-2-enoyl-CoA reductase Fatty acid elongation in mitochondria EC:1.3.1.38
R_r0639	Lauroyl-CoA:acetyl-CoA C-acyltransferase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:2.3.1.16
R_r0641	(5-Glutamyl)-peptide:amino-acid 5-glutamyltransferase Arachidonic acid metabolism EC:2.3.2.2
R_r0642	(S)-Methylmalonate semialdehyde:NAD+ oxidoreductase Valine, leucine and isoleucine degradation EC:1.2.1.3
R_r0643	(S)-Methylmalonate semialdehyde:NAD+ oxidoreductase Valine, leucine and isoleucine degradation EC:1.2.1.3
R_r0644	(S)-Methylmalonate semialdehyde:oxygen oxidoreductase Valine, leucine and isoleucine degradation EC:1.2.3.1
R_r0645	2-Aminomuconate semialdehyde:NAD+ 6-oxidoreductase Tryptophan metabolism EC:1.2.1.32
R_r0647	Spontaneous reaction
R_r0650	Chenodeoxycholate:CoA ligase (AMP-forming) Bile acid biosynthesis EC:6.2.1.7
R_r0651	Chenodeoxycholate:CoA ligase (AMP-forming) Bile acid biosynthesis EC:6.2.1.7
R_r0652	trans-Tetradec-2-enoyl-CoA reductase Fatty acid elongation in mitochondria EC:1.3.1.38
R_r0653	myristoyl-CoA:acetylCoA C-myristoyltransferase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:2.3.1.16
R_r0655	3-Methylbutanoyl-CoA:(acceptor) 2,3-oxidoreductase Valine, leucine and isoleucine degradation EC:1.3.99.10
R_r0656	3-methylbutanoyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-(3-methylbutanoyl)transferase Valine, leucine and isoleucine degradation EC:2.3.1.168
R_r0666	2-(Formamido)-N1-(5-phosphoribosyl)acetamidine cyclo-ligase (ADP-forming) Purine metabolism EC:6.3.3.1
R_r0668	CTP:N-acylneuraminate cytidylyltransferase Aminosugars metabolism EC:2.7.7.43
R_r0669	(S)-3-Hydroxyisobutyryl-CoA hydro-lyase Valine, leucine and isoleucine degradation EC:4.2.1.17
R_r0670	(S)-3-Methyl-2-oxopentanoate:[dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-2-methylpropanoylating) EC:1.2.4.4
R_r0671	(R)-4-Phosphopantothenate:L-cysteine ligase EC:6.3.2.5
R_r0672	Cholest-5-ene-3beta,7alpha-diol:NAD+ 3-oxidoreductase Bile acid biosynthesis EC:1.1.1.181
R_r0678	Acyl-[acyl-carrier-protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating) Fatty acid biosynthesis EC:2.3.1.85
R_r0679	ATP:pantothenate 4-phosphotransferase Pantothenate and CoA biosynthesis EC:2.7.1.33
R_r0680	ATP:pantothenate 4-phosphotransferase Pantothenate and CoA biosynthesis EC:2.7.1.33
R_r0681	(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase Fatty acid biosynthesis EC:2.3.1.85
R_r0682	Butyryl-[acyl-carrier protein]:malonyl-CoA C-acyltransferase(decarboxylating, oxoacyl- and enoyl-reducing and thioester-hydrolysing) Fatty acid biosynthesis EC:2.1.3.85
R_r0683	Propanoyl-CoA:(acceptor) 2,3-oxidoreductase beta-Alanine metabolism EC:1.3.3.6 EC:1.3.99.3
R_r0686	L-1-Pyrroline-3-hydroxy-5-carboxylate:NADP+ oxidoreductase Arginine and proline metabolism EC:1.5.1.12
R_r0688	3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al:NAD+ oxidoreductase Bile acid biosynthesis EC:1.2.1.3
R_r0691	(3R)-3-Hydroxybutanoyl-[acyl-carrier protein]:NADP+ oxidoreductase Fatty acid biosynthesis EC:2.3.1.85
R_r0692	(3R)-3-Hydroxydecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase Fatty acid biosynthesis EC:2.3.1.85
R_r0693	(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase Fatty acid biosynthesis EC:2.3.1.85
R_r0694	(3R)-3-Hydroxyoctanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase Fatty acid biosynthesis EC:2.3.1.85
R_r0695	(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase; (3R)-3-Hydroxyoctanoyl-[acyl-carrier-protein] hydro-lyase Fatty acid biosynthesis EC:2.3.1.85
R_r0696	(3R)-3-Hydroxypalmitoyl-[acyl-carrier-protein]:NADP+ oxidoreductase Fatty acid biosynthesis EC:2.3.1.85
R_r0697	(3R)-3-Hydroxypalmitoyl-[acyl-carrier-protein] hydro-lyase Fatty acid biosynthesis EC:2.3.1.85
R_r0698	Propanoyl-CoA:acetyl-CoA C-acyltransferase Bile acid biosynthesis EC:2.3.1.16
R_r0702	(3R)-3-Hydroxypalmitoyl-[acyl-carrier-protein] hydro-lyase Fatty acid biosynthesis EC:2.3.1.85
R_r0706	acyl-Coenzyme A dehydrogenase family, member 9 Bile acid biosynthesis EC:1.3.3.6
R_r0708	2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl) dihydropteridine triphosphate 7,8-8,9-dihydrolase Folate biosynthesis EC:3.5.4.16
R_r0709	r0709
R_r0712	Dodecanoyl-[acyl-carrier protein]: malonyl-CoA C-acyltransferase(decarboxylating, oxoacyl- and enoyl-reducing and thioester-hydrolysing) Fatty acid biosynthesis EC:2.3.1.85
R_r0713	dodecanoyl-[acyl-carrier-protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating) Fatty acid biosynthesis EC:2.3.1.85
R_r0714	(S)-3-Hydroxyhexadecanoyl-CoA:NAD+ oxidoreductase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:1.1.1.211 EC:1.1.1.35
R_r0715	(S)-3-Hydroxyhexadecanoyl-CoA:NAD+ oxidoreductase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:1.1.1.35 EC:1.1.1.211
R_r0716	(S)-3-Hydroxyhexadecanoyl-CoA hydro-lyase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:4.2.1.17
R_r0717	(S)-3-Hydroxyhexadecanoyl-CoA hydro-lyase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:4.2.1.17
R_r0724	Decanoyl-CoA:acetyl-CoA C-acyltransferase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:2.3.1.16
R_r0730	(S)-Hydroxyoctanoyl-CoA:NAD+ oxidoreductase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:1.1.1.211
R_r0731	(S)-Hydroxyoctanoyl-CoA hydro-lyase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:4.2.1.17
R_r0733	(S)-Hydroxyhexanoyl-CoA:NAD+ oxidoreductase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:1.1.1.211 EC:1.1.1.35
R_r0735	trans-Dec-2-enoyl-CoA reductase Fatty acid elongation in mitochondria EC:1.3.1.38
R_r0739	alcohol dehydrogenase Bile acid biosynthesis EC:1.1.1.1
R_r0741	5beta-Cholestane-3alpha,7alpha,12alpha-triol,NADPH:oxygen oxidoreductase (26-hydroxylating) Bile acid biosynthesis EC:1.14.13.15
R_r0743	hydroxysteroid (17-beta) dehydrogenase 4 Bile acid biosynthesis EC:1.1.1.35
R_r0744	(24R,25R)-3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl- CoA hydro-lyase Bile acid biosynthesis EC:4.2.1.107
R_r0747	3alpha,7alpha-Dihydroxy-5beta-cholestane:NADP+ oxidoreductase (B-specific); 3alpha,7alpha-Dihydroxy-5beta-cholestane:NADP+ oxidoreductase Bile acid biosynthesis EC:1.1.1.50
R_r0750	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestane:NADP+ oxidoreductase (B-specific); 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestane:NADP+ oxidoreductase Bile acid biosynthesis EC:1.1.1.50
R_r0752	3,4-Dihydroxymandelaldehyde:NAD+ oxidoreductase Tyrosine metabolism EC:1.2.1.5
R_r0753	3,4-Dihydroxymandelaldehyde:NADP+ oxidoreductase Tyrosine metabolism EC:1.2.1.5
R_r0754	3-Methoxy-4-hydroxyphenylacetaldehyde:NAD+ oxidoreductase Tyrosine metabolism EC:1.2.1.5
R_r0755	3-Methoxy-4-hydroxyphenylacetaldehyde:NADP+ oxidoreductase Tyrosine metabolism EC:1.2.1.5
R_r0756	3-Methoxy-4-hydroxyphenylglycolaldehyde:NAD+ oxidoreductase Tyrosine metabolism EC:1.2.1.5
R_r0757	3-Methoxy-4-hydroxyphenylglycolaldehyde:NADP+ oxidoreductase Tyrosine metabolism EC:1.2.1.5
R_r0758	5-Hydroxyindoleacetaldehyde:NAD+ oxidoreductase Tryptophan metabolism EC:1.2.1.3
R_r0760	butyryl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating) Fatty acid biosynthesis EC:2.3.1.85
R_r0761	(3R)-3-Hydroxyhexanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase Fatty acid biosynthesis EC:2.3.1.85
R_r0762	(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase Fatty acid biosynthesis EC:2.3.1.85
